customer_id,customer_name,city,state,country,signup_date,gender,age
1,Mehul Desai,Mumbai,Maharashtra,India,2021-10-27,Female,23
2,Azad Manda,Pune,Maharashtra,India,2022-08-24,Female,24
3,Hansh Sinha,Mumbai,Maharashtra,India,2025-03-15,Female,52
4,Anaya Ravel,Jaipur,Rajasthan,India,2025-12-13,Female,39
5,Misha Samra,Mumbai,Maharashtra,India,2022-04-01,Male,26
6,Jayesh Anne,Kolkata,West Bengal,India,2026-05-11,Female,62
7,Saira Talwar,Hyderabad,Telangana,India,2024-08-25,Male,18
8,Pranay Butala,Pune,Maharashtra,India,2024-08-31,Male,56
9,Neysa Sarkar,Pune,Maharashtra,India,2022-05-16,Male,18
10,Jayant Golla,Kolkata,West Bengal,India,2023-03-08,Female,24
11,Saksham Badal,Mumbai,Maharashtra,India,2023-02-12,Male,60
12,Ivan Amble,Bengaluru,Karnataka,India,2021-08-14,Male,19
13,Hridaan Agarwal,Chennai,Tamil Nadu,India,2024-09-01,Female,54
14,Alisha Atwal,Ahmedabad,Gujarat,India,2024-09-28,Female,48
15,Suhana Sha,Mumbai,Maharashtra,India,2024-01-10,Female,39
16,Dhruv Varma,Jaipur,Rajasthan,India,2025-07-16,Female,31
17,Lakshit Varghese,Lucknow,Uttar Pradesh,India,2024-01-16,Female,18
18,Indrajit Kakar,Pune,Maharashtra,India,2022-11-05,Female,61
19,Madhup Mall,Jaipur,Rajasthan,India,2024-02-16,Female,51
20,Ryan Sandal,Pune,Maharashtra,India,2025-01-10,Female,50
21,Ojas Dutt,Mumbai,Maharashtra,India,2025-03-31,Male,64
22,Nirvi Keer,Delhi,Delhi,India,2024-02-26,Female,60
23,Dhanush Sant,Chennai,Tamil Nadu,India,2023-10-02,Male,39
24,Kabir Desai,Kolkata,West Bengal,India,2023-06-25,Female,22
25,Elakshi Jaggi,Ahmedabad,Gujarat,India,2021-06-24,Female,54
26,Kiara Chanda,Kolkata,West Bengal,India,2021-06-09,Male,30
27,Ritvik Subramanian,Lucknow,Uttar Pradesh,India,2024-05-20,Male,58
28,Vidur Tiwari,Kolkata,West Bengal,India,2024-04-17,Male,40
29,Damini Dada,Hyderabad,Telangana,India,2022-12-04,Female,52
30,Adah Sha,Jaipur,Rajasthan,India,2021-11-17,Male,58
31,Shalv Banik,Chennai,Tamil Nadu,India,2021-09-21,Female,58
32,Jayesh Thakur,Hyderabad,Telangana,India,2024-08-11,Female,29
33,Vivaan Garde,Bengaluru,Karnataka,India,2023-06-30,Female,42
34,Amani Sarin,Ahmedabad,Gujarat,India,2025-06-20,Male,18
35,Nayantara Sarraf,Bengaluru,Karnataka,India,2023-10-04,Female,30
36,Aniruddh Raj,Mumbai,Maharashtra,India,2021-06-04,Female,40
37,Gatik Shankar,Chennai,Tamil Nadu,India,2022-03-07,Female,58
38,Kimaya Hegde,Pune,Maharashtra,India,2021-07-13,Male,24
39,Nayantara Varkey,Lucknow,Uttar Pradesh,India,2021-05-29,Male,50
40,Ayesha Sarraf,Kolkata,West Bengal,India,2025-08-02,Male,23
41,Azad Ganesh,Pune,Maharashtra,India,2024-07-08,Male,52
42,Hridaan Tak,Pune,Maharashtra,India,2024-05-11,Male,52
43,Kismat Char,Pune,Maharashtra,India,2024-07-15,Male,38
44,Vanya Ramanathan,Chennai,Tamil Nadu,India,2024-03-31,Female,20
45,Trisha Kuruvilla,Jaipur,Rajasthan,India,2021-05-19,Female,44
46,Aaina Vala,Kolkata,West Bengal,India,2025-05-24,Male,58
47,Arnav Srivastava,Bengaluru,Karnataka,India,2021-06-04,Female,22
48,Yashvi Buch,Bengaluru,Karnataka,India,2024-03-27,Female,60
49,Onkar Shukla,Hyderabad,Telangana,India,2021-11-26,Male,58
50,Riya Sodhi,Mumbai,Maharashtra,India,2023-02-14,Female,52
51,Ehsaan Gole,Chennai,Tamil Nadu,India,2021-10-13,Male,59
52,Mannat Acharya,Chennai,Tamil Nadu,India,2025-05-20,Female,41
53,Parinaaz Anand,Bengaluru,Karnataka,India,2025-05-26,Female,51
54,Hrishita Mallick,Delhi,Delhi,India,2021-08-29,Male,55
55,Vedika Gulati,Pune,Maharashtra,India,2024-07-30,Female,21
56,Alia Kumer,Bengaluru,Karnataka,India,2025-02-18,Female,60
57,Kiaan Borde,Mumbai,Maharashtra,India,2024-11-21,Female,46
58,Vanya Dewan,Ahmedabad,Gujarat,India,2023-02-28,Female,45
59,Himmat Arya,Mumbai,Maharashtra,India,2023-11-08,Male,51
60,Hiran Baral,Kolkata,West Bengal,India,2023-09-23,Male,39
61,Kimaya Divan,Jaipur,Rajasthan,India,2025-10-17,Male,52
62,Uthkarsh Kale,Kolkata,West Bengal,India,2023-04-24,Male,54
63,Sana Gera,Kolkata,West Bengal,India,2021-09-05,Male,35
64,Dhanush Seshadri,Jaipur,Rajasthan,India,2026-02-25,Male,31
65,Vardaniya Dhillon,Kolkata,West Bengal,India,2025-01-25,Female,43
66,Fateh Desai,Mumbai,Maharashtra,India,2025-02-24,Male,30
67,Mahika Ravel,Jaipur,Rajasthan,India,2025-07-30,Male,19
68,Charvi Swaminathan,Hyderabad,Telangana,India,2023-03-18,Female,54
69,Anya Bumb,Hyderabad,Telangana,India,2025-12-16,Male,56
70,Anya Ramachandran,Kolkata,West Bengal,India,2025-09-10,Male,39
71,Vardaniya Comar,Jaipur,Rajasthan,India,2022-10-19,Male,52
72,Tiya Taneja,Bengaluru,Karnataka,India,2025-09-10,Female,49
73,Ahana  Sandal,Pune,Maharashtra,India,2025-06-28,Male,34
74,Rhea Mane,Lucknow,Uttar Pradesh,India,2026-03-27,Female,39
75,Raghav Kala,Pune,Maharashtra,India,2023-10-10,Male,50
76,Kartik Saini,Bengaluru,Karnataka,India,2022-03-19,Male,56
77,Yuvaan Raman,Lucknow,Uttar Pradesh,India,2025-06-23,Female,39
78,Anay Anne,Lucknow,Uttar Pradesh,India,2021-05-27,Male,62
79,Chirag Batta,Mumbai,Maharashtra,India,2021-06-25,Female,47
80,Armaan Iyer,Kolkata,West Bengal,India,2024-06-10,Female,38
81,Kiara Mand,Kolkata,West Bengal,India,2024-05-11,Male,46
82,Vanya Vig,Kolkata,West Bengal,India,2024-04-23,Male,29
83,Priyansh Loke,Pune,Maharashtra,India,2021-06-19,Male,44
84,Neelofar Savant,Pune,Maharashtra,India,2021-05-20,Female,29
85,Pranay Kota,Jaipur,Rajasthan,India,2025-10-07,Female,41
86,Ishaan Grover,Delhi,Delhi,India,2022-10-18,Female,25
87,Prisha Deol,Chennai,Tamil Nadu,India,2023-04-12,Female,21
88,Divyansh Sachdev,Pune,Maharashtra,India,2023-07-12,Male,55
89,Vritika Kashyap,Pune,Maharashtra,India,2021-12-01,Female,24
90,Tiya Rajagopal,Ahmedabad,Gujarat,India,2025-12-16,Female,33
91,Neysa Bora,Ahmedabad,Gujarat,India,2026-04-16,Female,46
92,Eva Rattan,Lucknow,Uttar Pradesh,India,2024-03-01,Female,33
93,Umang Wali,Ahmedabad,Gujarat,India,2021-11-16,Female,39
94,Zeeshan Jha,Mumbai,Maharashtra,India,2023-04-08,Male,25
95,Azad Kumer,Mumbai,Maharashtra,India,2025-01-17,Female,60
96,Saanvi Wagle,Ahmedabad,Gujarat,India,2023-09-25,Male,48
97,Vivaan Kunda,Jaipur,Rajasthan,India,2022-11-27,Male,48
98,Nirvaan Bhalla,Jaipur,Rajasthan,India,2022-08-19,Male,38
99,Ishaan Kalita,Kolkata,West Bengal,India,2023-11-28,Male,56
100,Hrishita Krishnamurthy,Mumbai,Maharashtra,India,2022-11-25,Female,50
101,Shaan Varma,Lucknow,Uttar Pradesh,India,2022-09-11,Female,63
102,Jivin Sami,Lucknow,Uttar Pradesh,India,2022-11-28,Male,38
103,Divij Ramachandran,Pune,Maharashtra,India,2022-11-18,Male,62
104,Himmat Iyengar,Delhi,Delhi,India,2025-03-22,Female,36
105,Ishaan Balasubramanian,Bengaluru,Karnataka,India,2022-08-09,Female,40
106,Romil Shenoy,Pune,Maharashtra,India,2023-11-17,Male,56
107,Anahita Sunder,Mumbai,Maharashtra,India,2026-02-24,Female,61
108,Samar Jani,Bengaluru,Karnataka,India,2021-09-18,Male,20
109,Manjari Ratta,Chennai,Tamil Nadu,India,2021-09-18,Male,65
110,Tejas Kapur,Jaipur,Rajasthan,India,2025-01-15,Male,37
111,Samarth Toor,Ahmedabad,Gujarat,India,2024-06-11,Female,32
112,Chirag Sibal,Chennai,Tamil Nadu,India,2023-07-12,Male,24
113,Mohanlal Dalal,Ahmedabad,Gujarat,India,2022-12-25,Female,30
114,Vanya Gala,Jaipur,Rajasthan,India,2024-01-27,Male,58
115,Aaina Sharma,Pune,Maharashtra,India,2025-12-22,Female,46
116,Shaan Sethi,Delhi,Delhi,India,2022-02-27,Male,54
117,Vihaan Lall,Pune,Maharashtra,India,2025-05-01,Female,51
118,Aayush Srinivas,Kolkata,West Bengal,India,2021-12-21,Male,49
119,Anaya Bhargava,Bengaluru,Karnataka,India,2021-09-11,Male,31
120,Kartik Karnik,Hyderabad,Telangana,India,2024-06-19,Male,33
121,Badal Dalal,Hyderabad,Telangana,India,2022-12-25,Male,43
122,Oorja Kari,Mumbai,Maharashtra,India,2024-07-14,Male,44
123,Mehul Suri,Kolkata,West Bengal,India,2023-11-09,Male,20
124,Tushar Chokshi,Hyderabad,Telangana,India,2022-09-09,Female,62
125,Anahita Vyas,Chennai,Tamil Nadu,India,2022-09-27,Male,37
126,Kavya Lad,Delhi,Delhi,India,2024-08-07,Female,60
127,Diya Raval,Kolkata,West Bengal,India,2024-02-02,Male,50
128,Jayant Kakar,Mumbai,Maharashtra,India,2022-12-22,Female,27
129,Sara Barad,Ahmedabad,Gujarat,India,2025-11-30,Male,44
130,Prisha Shere,Hyderabad,Telangana,India,2026-01-09,Female,43
131,Biju Kalita,Jaipur,Rajasthan,India,2021-12-25,Male,42
132,Anya Badami,Delhi,Delhi,India,2022-06-13,Female,20
133,Kiara Sandal,Chennai,Tamil Nadu,India,2022-07-17,Male,48
134,Samar Bains,Delhi,Delhi,India,2025-03-13,Male,25
135,Aarna Walia,Ahmedabad,Gujarat,India,2026-04-15,Female,53
136,Jiya Vohra,Lucknow,Uttar Pradesh,India,2024-11-20,Male,46
137,Tiya Bir,Jaipur,Rajasthan,India,2023-02-03,Female,36
138,Ranbir Chaudhry,Kolkata,West Bengal,India,2024-03-08,Male,42
139,Ira Char,Mumbai,Maharashtra,India,2025-12-12,Male,50
140,Lakshit Edwin,Delhi,Delhi,India,2023-12-06,Female,65
141,Faiyaz Chaudhary,Delhi,Delhi,India,2025-10-27,Male,42
142,Misha Shah,Bengaluru,Karnataka,India,2022-05-09,Female,26
143,Shamik Kumar,Ahmedabad,Gujarat,India,2024-12-02,Male,18
144,Aaryahi Ghosh,Bengaluru,Karnataka,India,2022-05-29,Male,39
145,Chirag Choudhry,Mumbai,Maharashtra,India,2023-01-31,Male,27
146,Yasmin Rajagopal,Hyderabad,Telangana,India,2024-05-20,Female,45
147,Pari Bail,Hyderabad,Telangana,India,2024-03-28,Female,21
148,Prisha Dhaliwal,Mumbai,Maharashtra,India,2023-04-06,Male,25
149,Jiya Kale,Ahmedabad,Gujarat,India,2023-07-29,Male,26
150,Darshit Jaggi,Mumbai,Maharashtra,India,2022-12-26,Female,46
151,Kartik Swamy,Hyderabad,Telangana,India,2023-05-23,Male,33
152,Darshit Bail,Pune,Maharashtra,India,2023-11-18,Female,60
153,Indrans Bhatnagar,Bengaluru,Karnataka,India,2022-06-29,Male,61
154,Renee Chandran,Mumbai,Maharashtra,India,2022-11-01,Female,38
155,Aaina Choudhary,Pune,Maharashtra,India,2026-04-11,Female,32
156,Jhanvi Gera,Mumbai,Maharashtra,India,2021-09-16,Male,53
157,Veer Sampath,Delhi,Delhi,India,2024-10-07,Male,33
158,Nitya Dugar,Chennai,Tamil Nadu,India,2024-03-20,Male,26
159,Madhav Wali,Jaipur,Rajasthan,India,2024-08-10,Male,56
160,Shlok Saraf,Jaipur,Rajasthan,India,2021-09-04,Female,44
161,Vivaan Kala,Jaipur,Rajasthan,India,2023-12-21,Female,41
162,Kimaya Barad,Bengaluru,Karnataka,India,2022-02-28,Female,20
163,Hiran Tak,Lucknow,Uttar Pradesh,India,2025-08-07,Female,40
164,Rania Sem,Kolkata,West Bengal,India,2023-07-19,Male,40
165,Anya Wable,Jaipur,Rajasthan,India,2025-06-09,Male,59
166,Saira Gandhi,Chennai,Tamil Nadu,India,2024-01-16,Male,42
167,Nakul Shenoy,Bengaluru,Karnataka,India,2026-02-19,Female,46
168,Shamik Kumar,Delhi,Delhi,India,2021-05-26,Male,43
169,Uthkarsh Upadhyay,Delhi,Delhi,India,2023-01-24,Male,31
170,Mannat Shenoy,Kolkata,West Bengal,India,2021-08-28,Female,48
171,Fateh Buch,Chennai,Tamil Nadu,India,2022-04-30,Male,42
172,Onkar Dixit,Mumbai,Maharashtra,India,2022-04-13,Female,64
173,Parinaaz Krish,Mumbai,Maharashtra,India,2023-09-29,Male,30
174,Alisha Ranganathan,Kolkata,West Bengal,India,2024-03-10,Male,24
175,Anika Acharya,Bengaluru,Karnataka,India,2023-04-26,Male,35
176,Mishti Deshmukh,Delhi,Delhi,India,2024-01-30,Male,41
177,Vidur Magar,Mumbai,Maharashtra,India,2024-09-25,Female,41
178,Baiju Choudhury,Bengaluru,Karnataka,India,2025-07-21,Female,44
179,Nishith Sarma,Delhi,Delhi,India,2025-04-04,Female,51
